# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Eroare la încărcarea resurselor necesare.
Error rendering template [%s].,Nu am putut randa template-ul [%s].
Couldn't load template from plugin settings.,Nu s-a putut încărca template-ul din setările pluginului.
Error loading image captcha library.,Eroare la încărcarea librăriei de captcha.
Failed validating captcha template file.,Nu s-a validat fișierul template-ul captcha.
Function imagecreatetruecolor doesn't exist. Maybe gd library is not installed or doesn't support this function.,Funcția imagecreatetruecolor nu există. Poate că librăria gd nu este instalată sau nu acceptă această funcție.
Font file not found.,Nu am putut găsi fișierul fontului.
Error refreshing public code. Please try again.,Eroare la actualizarea codului public. Încercaţi din nou.
