# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!!
You are in admin section of %s site.,You are in admin section of %s site.
Currently logged in %s - %s.,Currently logged in %s - %s.
You should login first...,You should login first...
Couldn't load accounts model.,Couldn't load accounts model.
